Feature,Importance,Cumulative_Importance
Fwd Packet Length Max,0.1236544453745527,0.1236544453745527
Fwd Packet Length Mean,0.10288633525504456,0.22654078062959726
Fwd IAT Std,0.07859263751178516,0.3051334181413824
Total Length of Fwd Packets,0.07306220942921512,0.37819562757059755
Init_Win_bytes_forward,0.0716557712909544,0.44985139886155195
act_data_pkt_fwd,0.060178570707492635,0.5100299695690446
Bwd Packet Length Min,0.04820625689381178,0.5582362264628563
Destination Port,0.04507976518761882,0.6033159916504751
Fwd IAT Max,0.03378471960679934,0.6371007112572744
Fwd Header Length,0.033545970757545056,0.6706466820148195
Fwd IAT Total,0.027079395356437334,0.6977260773712568
Bwd Packet Length Std,0.02527752067553005,0.7230035980467868
Average Packet Size,0.02504034490587366,0.7480439429526605
Bwd Packet Length Mean,0.017799451149529376,0.7658433941021899
Total Length of Bwd Packets,0.016819191801387016,0.782662585903577
Bwd Packet Length Max,0.01628807139755964,0.7989506573011366
Fwd Packet Length Std,0.016064682450181698,0.8150153397513182
Total Backward Packets,0.015419135165975815,0.830434474917294
Packet Length Std,0.015180419669985058,0.8456148945872791
Total Fwd Packets,0.015014665936625538,0.8606295605239047
Bwd IAT Total,0.014463337133534815,0.8750928976574395
Avg Bwd Segment Size,0.013443018294856855,0.8885359159522963
Bwd Packets/s,0.012834433821791629,0.9013703497740879
Fwd IAT Mean,0.012685274704284289,0.9140556244783722
Bwd IAT Max,0.011405923802509352,0.9254615482808816
Packet Length Mean,0.010665581478434771,0.9361271297593163
Flow IAT Std,0.010657898746467729,0.946785028505784
Bwd IAT Mean,0.009101558937327343,0.9558865874431114
Bwd Header Length,0.008179303863658694,0.9640658913067701
Max Packet Length,0.004389364072926207,0.9684552553796963
Fwd Packet Length Min,0.003917918615949729,0.972373173995646
Bwd IAT Std,0.003914965752484898,0.9762881397481309
min_seg_size_forward,0.0033744798855506603,0.9796626196336815
URG Flag Count,0.002884433047217133,0.9825470526808986
Min Packet Length,0.0027453183505831784,0.9852923710314818
Flow Packets/s,0.002203218277804916,0.9874955893092867
Init_Win_bytes_backward,0.001988569040929747,0.9894841583502164
Packet Length Variance,0.0018208751406942256,0.9913050334909106
Fwd Packets/s,0.0016217443106922285,0.9929267778016028
Flow Bytes/s,0.0011118642215805876,0.9940386420231834
Flow IAT Mean,0.001083492568656236,0.9951221345918396
Fwd IAT Min,0.001046313336717103,0.9961684479285567
Flow Duration,0.000991910138163816,0.9971603580667205
Flow IAT Min,0.0007610763050328663,0.9979214343717534
ACK Flag Count,0.0004242804169601247,0.9983457147887135
Flow IAT Max,0.00037538017120026455,0.9987210949599138
PSH Flag Count,0.0003720799493302366,0.999093174909244
Bwd IAT Min,0.00034575049588064143,0.9994389254051246
FIN Flag Count,0.0001433971721153713,0.99958232257724
Idle Min,7.923669340220127e-05,0.9996615592706422
Idle Max,7.533859003800244e-05,0.9997368978606802
Idle Mean,6.517186940832364e-05,0.9998020697300886
Down/Up Ratio,4.447537073369809e-05,0.9998465451008223
Active Min,4.391143689165416e-05,0.9998904565377139
Active Max,4.0620898160268375e-05,0.9999310774358742
Active Std,2.53591301008203e-05,0.999956436565975
SYN Flag Count,1.9461509782786797e-05,0.9999758980757578
Fwd PSH Flags,1.0142695385296058e-05,0.9999860407711432
Active Mean,8.800725546502924e-06,0.9999948414966897
Idle Std,5.1585033100928214e-06,0.9999999999999998
RST Flag Count,0.0,0.9999999999999998
ECE Flag Count,0.0,0.9999999999999998
