Feature,Mutual_Information
Total Length of Fwd Packets,0.6491589530411401
Average Packet Size,0.5604150777497803
Avg Bwd Segment Size,0.5475034470504898
Bwd Packet Length Mean,0.5474702255018082
Total Length of Bwd Packets,0.5462517683775474
Fwd Header Length,0.5387733591999202
Destination Port,0.5387374594716352
Bwd Packet Length Max,0.5312655905353361
Init_Win_bytes_forward,0.49808600285885163
Fwd Packet Length Mean,0.48769865729527395
Fwd Packet Length Max,0.4847732954546917
Bwd Header Length,0.4763286372114073
Fwd IAT Max,0.4561260423101694
Fwd IAT Total,0.45289516405647423
Fwd IAT Mean,0.4438839126070251
Init_Win_bytes_backward,0.4055006805582586
Total Fwd Packets,0.40256105026001987
Fwd IAT Std,0.4007799257769298
Packet Length Mean,0.39364992094094564
act_data_pkt_fwd,0.3919994258487671
Packet Length Std,0.3688774548582654
Packet Length Variance,0.3680111610843213
Bwd IAT Max,0.35514158694964015
Bwd IAT Total,0.35215991967306426
Fwd Packet Length Std,0.34993804256033045
Bwd Packet Length Std,0.34802110410865517
Bwd Packets/s,0.3436258879314982
Bwd IAT Mean,0.32947472485257623
Total Backward Packets,0.329079003711118
Fwd Packets/s,0.3058691774062703
Max Packet Length,0.29515328002321684
Flow Duration,0.2898445216817953
Bwd Packet Length Min,0.2734014096612212
Flow Bytes/s,0.2693539877217803
Flow IAT Max,0.24686959499865369
Flow IAT Std,0.24427218258778116
Bwd IAT Std,0.2386634063173112
Flow IAT Mean,0.23491766299796835
Flow Packets/s,0.23050685031864315
Active Min,0.18316186283768165
Bwd IAT Min,0.17963318009085638
Active Mean,0.17939437510150347
Active Max,0.17283115102637558
Fwd IAT Min,0.16663197039301947
Fwd Packet Length Min,0.15431510038268992
Down/Up Ratio,0.14311208267950914
URG Flag Count,0.13850476199878337
Min Packet Length,0.13594093024766263
min_seg_size_forward,0.13154161749593518
Flow IAT Min,0.07912069712688785
Idle Min,0.06365508476464776
Idle Mean,0.06022167740933981
Idle Max,0.05708625091431352
PSH Flag Count,0.04140841584732069
Fwd PSH Flags,0.029181888350282792
SYN Flag Count,0.02901465715133633
Idle Std,0.02696223427114508
Active Std,0.023087494991825386
ACK Flag Count,0.022798842192831792
FIN Flag Count,0.0013308336542439125
RST Flag Count,0.0012698333979628273
ECE Flag Count,0.0
