Feature,Importance_Mean,Importance_Std
Destination Port,0.001532841808036256,0.000181285421564286
Init_Win_bytes_forward,6.72299038612767e-05,2.8346616410070484e-05
Flow IAT Min,5.8265916679811626e-05,1.0978597327773682e-05
FIN Flag Count,4.4819935907547404e-05,0.0
Fwd Packet Length Max,2.689196154452844e-05,2.6134289020695845e-05
Total Length of Bwd Packets,1.7927974363018962e-05,8.963987181509481e-06
Bwd Packet Length Max,1.7927974363018962e-05,8.963987181509481e-06
Total Backward Packets,1.7927974363018962e-05,8.963987181509481e-06
Fwd Packet Length Mean,1.7927974363018962e-05,1.6770084426320935e-05
Max Packet Length,1.7927974363018962e-05,8.963987181509481e-06
Bwd Header Length,1.7927974363018962e-05,8.963987181509481e-06
Packet Length Variance,1.7927974363018962e-05,8.963987181509481e-06
Bwd Packet Length Std,1.7927974363018962e-05,8.963987181509481e-06
Bwd Packets/s,1.344598077226422e-05,1.0978597327773682e-05
Idle Mean,4.48199359079915e-06,2.1957194655492974e-05
Idle Max,4.48199359079915e-06,2.1957194655492974e-05
Flow IAT Mean,4.48199359079915e-06,2.1957194655492974e-05
Total Length of Fwd Packets,4.48199359079915e-06,2.1957194655492974e-05
Init_Win_bytes_backward,4.4819935907547405e-06,8.963987181509481e-06
Fwd IAT Max,4.4408920985006264e-17,2.0044084687242292e-05
Fwd IAT Total,4.4408920985006264e-17,2.0044084687242292e-05
Fwd IAT Min,0.0,0.0
Bwd IAT Max,0.0,0.0
Bwd IAT Std,0.0,0.0
Bwd IAT Min,0.0,0.0
Bwd Packet Length Min,0.0,0.0
Bwd IAT Mean,0.0,0.0
Bwd IAT Total,0.0,0.0
Fwd Packet Length Std,0.0,0.0
Fwd Packet Length Min,0.0,0.0
Active Min,0.0,0.0
min_seg_size_forward,0.0,0.0
PSH Flag Count,0.0,0.0
URG Flag Count,0.0,0.0
act_data_pkt_fwd,0.0,0.0
Average Packet Size,0.0,0.0
ECE Flag Count,0.0,0.0
Down/Up Ratio,0.0,0.0
Flow Bytes/s,0.0,0.0
Packet Length Mean,0.0,0.0
SYN Flag Count,0.0,0.0
RST Flag Count,0.0,0.0
ACK Flag Count,0.0,0.0
Fwd Packets/s,0.0,0.0
Min Packet Length,0.0,0.0
Fwd PSH Flags,0.0,0.0
Idle Std,0.0,0.0
Active Max,0.0,0.0
Active Mean,0.0,0.0
Active Std,0.0,0.0
Avg Bwd Segment Size,-4.4819935907325356e-06,8.963987181465073e-06
Fwd Header Length,-4.4819935907325356e-06,8.963987181465073e-06
Idle Min,-4.4819935907325356e-06,8.963987181465073e-06
Bwd Packet Length Mean,-4.4819935907325356e-06,8.963987181465073e-06
Flow IAT Std,-8.963987181465071e-06,1.0978597327719292e-05
Flow Duration,-8.963987181465071e-06,1.0978597327719292e-05
Fwd IAT Std,-8.963987181465071e-06,1.0978597327719292e-05
Flow Packets/s,-8.963987181465071e-06,1.0978597327719292e-05
Total Fwd Packets,-8.963987181465071e-06,1.0978597327719292e-05
Flow IAT Max,-1.3445980772197608e-05,1.0978597327719292e-05
Fwd IAT Mean,-1.7927974362930142e-05,8.963987181465073e-06
Packet Length Std,-2.240996795366268e-05,0.0
