Feature,Importance
Fwd Packet Length Max,0.1236544453745527
Fwd Packet Length Mean,0.10288633525504456
Fwd IAT Std,0.07859263751178516
Total Length of Fwd Packets,0.07306220942921512
Init_Win_bytes_forward,0.0716557712909544
act_data_pkt_fwd,0.060178570707492635
Bwd Packet Length Min,0.04820625689381178
Destination Port,0.04507976518761882
Fwd IAT Max,0.03378471960679934
Fwd Header Length,0.033545970757545056
Fwd IAT Total,0.027079395356437334
Bwd Packet Length Std,0.02527752067553005
Average Packet Size,0.02504034490587366
Bwd Packet Length Mean,0.017799451149529376
Total Length of Bwd Packets,0.016819191801387016
Bwd Packet Length Max,0.01628807139755964
Fwd Packet Length Std,0.016064682450181698
Total Backward Packets,0.015419135165975815
Packet Length Std,0.015180419669985058
Total Fwd Packets,0.015014665936625538
Bwd IAT Total,0.014463337133534815
Avg Bwd Segment Size,0.013443018294856855
Bwd Packets/s,0.012834433821791629
Fwd IAT Mean,0.012685274704284289
Bwd IAT Max,0.011405923802509352
Packet Length Mean,0.010665581478434771
Flow IAT Std,0.010657898746467729
Bwd IAT Mean,0.009101558937327343
Bwd Header Length,0.008179303863658694
Max Packet Length,0.004389364072926207
Fwd Packet Length Min,0.003917918615949729
Bwd IAT Std,0.003914965752484898
min_seg_size_forward,0.0033744798855506603
URG Flag Count,0.002884433047217133
Min Packet Length,0.0027453183505831784
Flow Packets/s,0.002203218277804916
Init_Win_bytes_backward,0.001988569040929747
Packet Length Variance,0.0018208751406942256
Fwd Packets/s,0.0016217443106922285
Flow Bytes/s,0.0011118642215805876
Flow IAT Mean,0.001083492568656236
Fwd IAT Min,0.001046313336717103
Flow Duration,0.000991910138163816
Flow IAT Min,0.0007610763050328663
ACK Flag Count,0.0004242804169601247
Flow IAT Max,0.00037538017120026455
PSH Flag Count,0.0003720799493302366
Bwd IAT Min,0.00034575049588064143
FIN Flag Count,0.0001433971721153713
Idle Min,7.923669340220127e-05
Idle Max,7.533859003800244e-05
Idle Mean,6.517186940832364e-05
Down/Up Ratio,4.447537073369809e-05
Active Min,4.391143689165416e-05
Active Max,4.0620898160268375e-05
Active Std,2.53591301008203e-05
SYN Flag Count,1.9461509782786797e-05
Fwd PSH Flags,1.0142695385296058e-05
Active Mean,8.800725546502924e-06
Idle Std,5.1585033100928214e-06
RST Flag Count,0.0
ECE Flag Count,0.0
